,Ngram Term,count
891,wine glasses,20
892,wedding dress,20
893,candle holder,20
894,energy drink,20
895,stress ball,20
896,sun shade,20
897,little girl,20
898,plastic cup,20
899,door lights,20
900,lunch boxes,20
901,galaxy s20,20
902,booster seat,20
903,women vibrating,20
904,indoor plants,20
905,gun safe,20
906,movies prime,20
907,x 20,20
908,back school,20
909,box kids,19
910,tommy hilfiger,19
911,protector iphone,19
912,pillows sleeping,19
913,chairs set,19
914,headset mic,19
915,mens tank,19
916,bikini top,19
917,outdoor rug,19
918,18 month,19
919,sewing machine,19
920,0-6 months,19
921,room storage,19
922,jar lid,19
923,cargo pants,19
924,galaxy watch,19
925,mens v,19
926,small space,19
927,maid dress,19
928,charger iphone,19
929,summer top,19
930,cast iron,19
931,bag men,19
932,bath towels,19
933,card game,19
934,air pump,19
935,size 3,19
936,minnie mouse,19
937,anniversary gift,19
938,ring set,19
939,desk organizer,19
940,pots pan,19
941,mason jars,19
942,body pillow,19
943,crop tops,19
944,outdoor lights,19
945,kitchen decor,19
946,sheets queen,19
947,tooth speakers,19
948,paddle board,19
949,fitbit versa,19
950,stain remover,19
951,blow dry,19
952,golf shirt,19
953,compression sleeve,19
954,women casual,19
955,privacy screen,19
956,nail file,19
957,pillow insert,19
958,home office,19
959,aa batteries,19
960,1st birthday,19
961,lounge chair,19
962,paper towels,19
963,10 dollars,19
964,nail drill,19
965,diamond painting,19
966,spray paint,19
967,pill organizer,19
968,hair ties,19
969,eye drops,19
970,apple pencil,19
971,fitted sheet,19
972,plastic storage,19
973,box iphone,19
974,95 masks,19
975,gloves men,19
976,solar lights,19
977,plastic cups,19
978,golf bag,19
979,size 4,19
980,screen door,19
981,heating pad,19
982,kate spade,19
983,size swim,18
984,golf shoes,18
985,curtain rods,18
986,table lamp,18
987,toaster oven,18
988,9 case,18
989,bluetooth speakers,18
990,non slip,18
991,ankle socks,18
992,casual summer,18
993,otterbox iphone,18
994,bathroom rugs,18
995,n hood,18
996,cowboy boots,18
997,vera bradley,18
998,eye mask,18
999,changing table,18
1000,bar soap,18
1001,kitchen counter,18
1002,full body,18
1003,backpack lunch,18
1004,decorations women,18
1005,uv light,18
1006,hero academia,18
1007,ipad 8,18
1008,gaming monitor,18
1009,travel size,18
1010,graphics card,18
1011,fishing rod,18
1012,clearance prime,18
1013,mens white,18
1014,door mat,18
1015,kids water,18
1016,tv 4k,18
1017,n fun,18
1018,inch case,18
1019,nail art,18
1020,pots pans,18
1021,croc charm,18
1022,food container,18
1023,cold brew,18
1024,jewelry box,18
1025,12 inch,18
1026,back support,18
1027,lunch bags,18
1028,light fixtures,18
1029,jacket women,18
1030,gold chain,18
1031,paper plate,18
1032,mens shirts,18
1033,ring binder,18
1034,show socks,18
1035,womens dress,18
1036,razor blades,18
1037,fast charge,18
1038,pool filter,18
1039,crochet hair,18
1040,wall decal,18
1041,made us,18
1042,bug spray,18
1043,golf cart,18
1044,shoes girls,18
1045,toys 2,18
1046,north face,18
1047,0-3 month,18
1048,queen mattress,18
1049,nail clippers,18
1050,gaming pc,18
1051,black bath,18
1052,para niñas,18
1053,hdmi cable,18
1054,air force,18
1055,coffee k,18
1056,summer tops,18
1057,seed oil,18
1058,graphic tees,18
1059,air case,18
1060,deodorant women,18
1061,glow dark,18
1062,work pants,18
1063,file folder,18
1064,work boots,18
1065,sandals men,18
1066,dining chair,18
1067,2 mini,18
1068,blackout curtains,18
1069,solar panel,18
1070,indoor cats,18
1071,girls 10-12,18
1072,erase board,18
1073,games kids,18
1074,beach towels,18
1075,play case,18
1076,toddler boy,17
1077,chlorine tablets,17
1078,x pro,17
1079,wireless mouse,17
1080,de la,17
1081,3 months,17
1082,4 oz,17
1083,poop bag,17
1084,room decoration,17
1085,water dispenser,17
1086,led bulb,17
1087,7 plus,17
1088,6 year,17
1089,dip powder,17
1090,x 10,17
1091,ups women,17
1092,sage green,17
1093,slippers women,17
1094,samsung s21,17
1095,cargo shorts,17
1096,gel pen,17
1097,apple air,17
1098,deodorant men,17
1099,pro 2,17
1100,x series,17
1101,dog bowls,17
1102,white board,17
1103,sale prime,17
1104,dragon ball,17
1105,fast furious,17
1106,paper holder,17
1107,rocking chair,17
1108,water fountain,17
1109,ethernet cable,17
1110,set women,17
1111,small business,17
1112,wedding band,17
1113,girl toy,17
1114,55 inch,17
1115,season 2,17
1116,hat men,17
1117,pool toy,17
1118,strapless bra,17
1119,bike helmet,17
1120,outdoor water,17
1121,makeup bag,17
1122,n play,17
1123,balloon garland,17
1124,phone stand,17
1125,baby food,17
1126,20 case,17
1127,piece bathing,17
1128,men swim,17
1129,pads women,17
1130,tik tok,17
1131,chair covers,17
1132,electric scooter,17
1133,ultra case,17
1134,boy toy,17
1135,rain boots,17
1136,washing machine,17
1137,motion sensor,17
1138,baby toy,17
1139,suit top,17
1140,shirt dress,17
1141,wall clock,17
